RegistroGenealogico Media cg287646953_BC21 cg287647051_BC21 cg287647433_TC11 Avg
ESPH1705384626 1 0.8868840 0.8367383 0.9682372 0.624860643483173
ESPH1705384627 1 0.8850908 0.8172029 0.9748562 0.615135433619802
ESPH1705384630 1 0.6216504 0.9338067 0.9686162 0.597234599386308
ESPH1705384631 1 0.8580981 0.8816294 0.9729071 0.621991524645525
ESPH1705384633 1 0.9007027 0.8959357 0.9733596 0.628348169653644
ESPH1705384636 1 0.8944558 0.8259147 0.9708541 0.620476735970686
ESPH1705384637 1 0.8493750 0.8661813 0.9671209 0.627533886399973
ESPH1705384638 1 0.8057073 0.8438826 0.9724954 0.594223520596088
ESPH1705386574 1 0.7299555 0.8908396 0.9609678 0.578628249465488
ESPH1705386575 1 0.9114550 0.9136503 0.9738807 0.61018178280418
ESPH1705386576 1 0.8623799 0.8672566 0.9720595 0.618180346439818
ESPH1705386577 1 0.8776967 0.8667561 0.9747407 0.630022156322294
ESPH1705386695 1 0.9056195 0.8065004 0.9694712 0.621045380958601
ESPH1705386578 1 0.8749238 0.8556095 0.9702662 0.627256089764711
ESPH1705386579 1 0.8561183 0.8910282 0.9712871 0.626094098308467
ESPH1705386581 1 0.8541224 0.8743415 0.9733029 0.616095439460879
